,question,answer
71,Can't you forget for just one night that you're completely wretched?,At least I'm not a clouted fen- sucked hedge-pig.
72,Like I'm supposed to know what that even means.,It's Shakespeare.  Maybe you've heard of him?
74,You are so completely unbalanced.,Can we go now?
75,"Bianca, I need to talk to you -- I need to tell you --",I really don't think I need any social advice from you right now.
77,"Listen, I know you hate having to sit home because I'm not Susie High School.",Like you care.
78,Like you care.,"I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s ."
84,"He was, like, a total babe",But you hate Joey
85,But you hate Joey,"Now I do.  Back then, was a different story."
86,"Now I do.  Back then, was a different story.",As in...
87,He said everyone was doing it.  So I did it.,You did what?
91,Why didn't you tell me?,I wanted to let you make up your own mind about him.
93,That's not,I'm not stupid enough to repeat your mistakes.
94,I'm not stupid enough to repeat your mistakes.,I guess I thought I was protecting you.
97,"Not all experiences are good, Bianca. You can't always trust the people you want to.","I guess I'll never know, will I?"
98,"You looked beautiful last night, you know.",So did you
100,You set me up.,I just wanted --
101,I just wanted --,What? To completely damage me?  To send me to therapy forever? What?
102,What? To completely damage me?  To send me to therapy forever? What?,No! I just wanted
103,Is that woman a complete fruit-loop or is it just me?,It's just you.
105,"Now don't get upset. Daddy, but there's this boy... and I think he might ask...",No! You're not dating until your sister starts dating.  End of discussion.
106,No! You're not dating until your sister starts dating.  End of discussion.,What if she never starts dating?
107,What if she never starts dating?,Then neither will you.  And I'll get to sleep at night.
108,Then neither will you.  And I'll get to sleep at night.,"But it's not fair -- she's a mutant, Daddy!"
109,But she doesn't want to date.,Exactly my point
110,"Daddy, I --",And where're you going?
111,And where're you going?,"If you must know, we were attempting to go to a small study group of friends."
112,"If you must know, we were attempting to go to a small study group of friends.",Otherwise known as an orgy?
114,"Daddy, people expect me to be there!","If Kat's not going, you're not going."
115,"Oh, God.  It's starting.",It's just a party. Daddy.
116,Wear the belly before you go.,"Daddy, no!"
117,"Daddy, no!",Just for a minute
120,"Daddy, I want to discuss the prom with you. It's tomorrow night --",The prom?  Kat has a date?
123,"It's that hot rod Joey, right? That ' s who you want me to bend my rules for?",He's not a "hot rod".  Whatever that is.
124,He's not a "hot rod".  Whatever that is.,You're not going unless your sister goes.  End of story.
125,You're not going unless your sister goes.  End of story.,Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!
126,I'm missing something.,"I have a date, Daddy.  And he ' s not a captain of oppression like some men we know."
131,"Padua girls.  One tall, decent body. The other one kinda short and undersexed?",Just sent 'em through.
132,You the new guy?,So they tell me...
133,So they tell me...,C'mon.  I'm supposed to give you the tour.
134,So -- which Dakota you from?,"North, actually.  How'd you   ?"
135,"North, actually.  How'd you   ?",I was kidding. People actually live there?
136,I was kidding. People actually live there?,"Yeah.  A couple.  We're outnumbered by the cows, though."
137,"Yeah.  A couple.  We're outnumbered by the cows, though.",How many people were in your old school?
138,How many people were in your old school?,Thirty-two.
139,Thirty-two.,Get out!
140,Get out!,How many people go here?
141,How many people go here?,Couple thousand. Most of them evil
142,That I'm used to.,"Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood."
143,That girl -- I --,"You burn, you pine, you perish?"
144,"You burn, you pine, you perish?",Who is she?
145,Who is she?,Bianca Stratford.  Sophomore. Don't even think about it
146,Bianca Stratford.  Sophomore. Don't even think about it,Why not?
151,You know French?,Sure do ... my Mom's from Canada
152,Sure do ... my Mom's from Canada,Guess who just signed up for a tutor?
153,Guess who just signed up for a tutor?,You mean I'd get a chance to talk to her?
154,You mean I'd get a chance to talk to her?,"You could consecrate with her, my friend."
155,"Yeah, just a minor encounter with the shrew.",That's her?  Bianca's sister?
156,That's her?  Bianca's sister?,"The mewling, rampalian wretch herself."
157,"I teach her French, get to know her, dazzle her with charm and she falls in love with me.","Unlikely, but even so, she still can't go out with you.  So what's the point?"
158,What about him?,You wanna go out with him?
159,What makes you think he'll do it?,He seems like he thrives on danger
164,Forget his reputation.  Do you think we've got a plan or not?,Did she actually say she'd go out with you?
165,Did she actually say she'd go out with you?,That's what I just said
167,I thought you hated those people.,Hey -- I've gotta have a few clients when I get to Wall Street.
169,This is it.  A golden opportunity. Patrick can ask Katarina to the party.,"In that case, we'll need to make it a school-wide blow out."
170,"In that case, we'll need to make it a school-wide blow out.",Will Bogey get bent?
171,Will Bogey get bent?,Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.
172,Number one.  She hates smokers,It's a lung cancer issue
173,It's a lung cancer issue,Her favorite uncle
174,Her favorite uncle,Dead at forty-one.
175,He's pretty!,Okay!  I wasn't sure
176,Assail your ears for one night.,It's her favorite band.
177,You told me that part already.,"Hell, I've just been going over the whole thing in my head and -"
180,"Buttholus extremus.  But hey, you're making progress.","No, I ' m not."
181,You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,"Best case scenario, you're back on the payroll for awhile."
182,And he means that strictly in a non- prison-movie type of way.,Yeah -- we'll see.
183,What've you got for me?,I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.
185,Gigglepuss is playing there tomorrow night.,"Don't make me do it, man"
186,"Cameron, I'm a little busy",It's off. The whole thing.
187,What 're you talking about?,"She's partial to Joey, not me"
190,What'd you do to her?,I don ' t know.  I decided not to nail her when she was too drunk to remember it.
191,She hates you with the fire of a thousand suns .  That's a direct quote,She just needs time to cool off I'll give it a day.
192,You makin' any headway?,She kissed me.
194,What's the worst?,You get the girl.
197,Hey -- do you mind?,Not at all
200,Leave my sister alone.,And why would I do that?
202,"Two legs, nice rack...","Yeah, whatever.  I want you to go out with her."
203,"Yeah, whatever.  I want you to go out with her.","Sure, Sparky.  I'll get right on it."
204,"Sure, Sparky.  I'll get right on it.",You just said
205,You just said,You need money to take a girl out
206,You need money to take a girl out,But you'd go out with her if you had the cake?
207,"You got it, Verona.  I pick up the tab, you do the honors.",You're gonna pay me to take out some girl?
210,I can't take a girl like that out on twenty bucks.,"Fine, thirty."
211,Take it or leave it.  This isn't a negotiation.,"Fifty, and you've got your man."
212,"When I shell out fifty, I expect results.",I'm on it
213,I'm on it,Watching the bitch trash my car doesn't count as a date.
214,Watching the bitch trash my car doesn't count as a date.,I got her under control. She just acts crazed in public to keep up the image.
217,A hundred bucks a date.,Forget it.
218,Forget it.,"Forget her sister, then."
219,It's about time.,A deal's a deal.
220,How'd you do it?,Do what?
221,Do what?,Get her to act like a human
222,"I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --",Enough with the Barbie n' Ken shit. I know.
224,Are you lost?,Nope - just came by to chat
225,Nope - just came by to chat,We don't chat.
226,We don't chat.,"Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested."
227,"Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.",We're not.
229,Does this conversation have a purpose?,So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.
230,I hear you're helpin' Verona.,"Uh,  yeah.  We're old friend*"
231,"Uh,  yeah.  We're old friend*",You and Verona?
232,You and Verona?,What?  We took bathes together when we were kids.
233,You better not fuck this up.  I'm heavily invested.,Hey -- it's all for the higher good right?
234,Who's that?,Patrick Verona   Random skid.
235,Patrick Verona   Random skid.,That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.
236,That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.,I'm sure he's completely incapable of doing anything that interesting.
237,I'm sure he's completely incapable of doing anything that interesting.,He always look so
238,He always look so,Block E?
239,"Mandella, eat.  Starving yourself is a very slow way to die.",Just a little.
240,What's this?,An attempted slit.
242,The people at this school are so incredibly foul.,You could always go with me.  I'm sure William has some friends.
244,William would never have gone to a state school.,William didn't even go to high school
245,William didn't even go to high school,That's never been proven
246,That's never been proven,Neither has his heterosexuality.
247,"I appreciate your efforts toward a speedy death, but I'm consuming.  Do you mind?",Does it matter?
248,Does it matter?,"If I was Bianca, it would be, ""Any school you want, precious.  Don't forget your tiara."""
249,You think this'll work?,No fear.
250,What'd he say?,Who cares?
251,You went to the party?  I thought we were officially opposed to suburban social activity.,I didn't have a choice.
252,I didn't have a choice.,You didn't have a choice?  Where's Kat and what have you done with her?
253,You didn't have a choice?  Where's Kat and what have you done with her?,I did Bianca a favor and it backfired.
254,I did Bianca a favor and it backfired.,You didn't
255,You didn't,I got drunk.  I puked.  I got rejected. It was big fun.
256,Can you even imagine?  Who the hell would go to this a bastion of commercial excess?,"Well, I guess we're not, since we don't have dates ."
257,"Well, I guess we're not, since we don't have dates .","Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica."
258,"Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.","Okay, okay, we won't go.  It's not like I have a dress anyway"
259,"Okay, okay, we won't go.  It's not like I have a dress anyway",You ' re looking at this from the wrong perspective.  We're making a statement.
260,You ' re looking at this from the wrong perspective.  We're making a statement.,"Oh, good.  Something new and different for us."
263,William - he asked me to meet him here.,"Oh, honey -- tell me we haven't' progressed to full-on hallucinations."
264,I mean Wo-man.  How ya doin'?,"Sweating like a pig, actually.  And yourself?"
265,"Sweating like a pig, actually.  And yourself?",There's a way to get a guy's attention.
266,There's a way to get a guy's attention.,My mission in life.
267,"Pick you up Friday, then","Oh, right.  Friday."
268,The night I take you to places you've never been before.  And back.,"Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?"
269,"Like where?  The 7-Eleven on Burnside? Do you even know my name, screwboy?",I know a lot more than that
270,You hate me don't you?,I don't really think you warrant that strong an emotion.
271,I don't really think you warrant that strong an emotion.,Then say you'll spend Dollar Night at the track with me.
272,Then say you'll spend Dollar Night at the track with me.,And why would I do that?
273,And why would I do that?,"Come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass..."
274,"Come on -- the ponies, the flat beer, you with money in your eyes, me with my hand on your ass...",You -- covered in my vomit.
275,You -- covered in my vomit.,Seven-thirty?
276,Are you following me?,I was in the laundromat. I saw your car. Thought I'd say hi.
278,"You're not a big talker, are you?",Depends on the topic. My fenders don't really whip me into a verbal frenzy.
280,Excuse me?,"That's what you want, isn't it?"
281,"That's what you want, isn't it?",Do you mind?  You're sort of ruining it for me.
282,"You know, these guys are no Bikini Kill or The Raincoats, but they're right up there.",You know who The Raincoats are?
283,You know who The Raincoats are?,"Why, don't you?"
284,What's this?,"""I'm getting trashed, man."" Isn't that what you're supposed to do at a party?"
285,"""I'm getting trashed, man."" Isn't that what you're supposed to do at a party?","I say, do what you wanna do."
286,"I say, do what you wanna do.","Funny, you're the only one"
288,You're not okay.,I just need to lie down for awhile
289,I just need to lie down for awhile,"Uh, uh. You lie down and you'll go to sleep"
290,"Uh, uh. You lie down and you'll go to sleep","I know, just let me sleep"
292,This is so patronizing.,Leave it to you to use big words when you're shitfaced.
293,Leave it to you to use big words when you're shitfaced.,Why 're you doing this?
294,Why 're you doing this?,I told you
295,I told you,You don't care if I die
296,You don't care if I die,"Sure, I do"
299,Because then I'd have to start taking out girls who like me.,Like you could find one
300,Like you could find one,See that?  Who needs affection when I've got blind hatred?
301,See that?  Who needs affection when I've got blind hatred?,Just let me sit down.
308,I thought you were above all that,You know what they say
310,And I'm in control of it.,But it's Gigglepuss - I know you like them.  I saw you there.
315,"No, you weren't",Then why'd you ask?
316,Then why'd you ask?,Why'd you lie?
317,I should do this.,Do what?
319,Start a band?,My father wouldn't approve of that that
320,My father wouldn't approve of that that,You don't strike me as the type that would ask permission.
321,"Oh, so now you think you know me?",I'm gettin' there
322,So what ' s up with your dad?  He a pain in the ass?,He just wants me to be someone I'm not.
326,"Excuse me, have you seen The Feminine Mystique?  I lost my copy.",What are you doing here?
327,What are you doing here?,I heard there was a poetry reading.
328,I heard there was a poetry reading.,You 're so --
329,You 're so --,Pleasant?
330,Wholesome.,Unwelcome.
331,Unwelcome.,Unwelcome?  I guess someone still has her panties in a twist.
332,Unwelcome?  I guess someone still has her panties in a twist.,Don't for one minute think that you had any effect whatsoever on my panties.
333,Don't for one minute think that you had any effect whatsoever on my panties.,So what did I have an effect on ?
334,So what did I have an effect on ?,Other than my upchuck reflex? Nothing.
335,He left!  I sprung the dickhead and he cruised on me.,"Look up, sunshine"
336,I guess I never told you I'm afraid of heights.,C'mon.  It's not that bad
337,C'mon.  It's not that bad,Try lookin' at it from this angle
338,Put your right foot there --,Forget it.  I'm stayin'.
339,Forget it.  I'm stayin'.,You want me to climb up and show you how to get down?
341,The Partridge Family?,I figured it had to be something ridiculous to win your respect.  And piss you off.
342,I figured it had to be something ridiculous to win your respect.  And piss you off.,Good call.
343,Good call.,So how'd you get Chapin to look the other way?
344,So how'd you get Chapin to look the other way?,I dazzled him with my wit
345,A soft side? Who knew?,"Yeah, well, don't let it get out"
346,"Yeah, well, don't let it get out",So what's your excuse?
347,So what's your excuse?,Acting the way we do.
351,"So if you disappoint them from the start, you're covered?",Something like that
352,Something like that,Then you screwed up
355,You up for it?,For. . . ?
356,State trooper?,Fallacy.
357,Fallacy.,The duck?
358,The duck?,Hearsay.
359,Hearsay.,I know the porn career's a lie.
360,Tell me something true.,I hate peas.
361,I hate peas.,No -- something real.  Something no one else knows.
362,No -- something real.  Something no one else knows.,You're sweet.  And sexy.  And completely hot for me.
365,No one else knows,You're amazingly self-assured. Has anyone ever told you that?
366,You're amazingly self-assured. Has anyone ever told you that?,Go to the prom with me
367,Is that a request or a command?,You know what I mean
370,No what?,"No, I won't go with you"
371,"No, I won't go with you",Why not?
372,Why not?,Because I don't want to. It's a stupid tradition.
373,Create a little drama?  Start a new rumor?  What?,So I have to have a motive to be with you?
374,So I have to have a motive to be with you?,You tell me.
375,You tell me.,You need therapy.  Has anyone ever told you that?
376,You need therapy.  Has anyone ever told you that?,"Answer the question, Patrick"
377,"Answer the question, Patrick",Nothing!  There's nothing in it for me. Just the pleasure of your company.
378,How'd you get a tux at the last minute?,It's Scurvy's.  His date got convicted. Where'd you get the dress?
379,It's Scurvy's.  His date got convicted. Where'd you get the dress?,It's just something I had.  You know
384,That ' s completely adorable!,It gets worse -- you still have your freshman yearbook?
385,Wait I...,You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!
386,You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!,It wasn't like that.
387,It wasn't like that.,"Really?  What was it like?  A down payment now, then a bonus for sleeping with me?"
388,"Really?  What was it like?  A down payment now, then a bonus for sleeping with me?",I didn't care about the money.
389,A Fender Strat. You bought this?,I thought you could use it. When you start your band.
390,"Besides, I had some extra cash. Some asshole paid me to take out a really great girl.",Is that right?
391,Is that right?,"Yeah, but then I fucked up. I fell for her."
392,Why is my veggie burger the only burnt object on this grill?,Because I like to torture you.
393,Because I like to torture you.,"Oh, Bianca?  Can you get me my freshman yearbook?"
394,"Oh, Bianca?  Can you get me my freshman yearbook?",Don ' t you even dare. . .
396,I thought we decided you were going to school here.  At U of 0.,You decided.
398,My insurance does not cover PMS,Then tell them I had a seizure.
399,Then tell them I had a seizure.,Is this about Sarah Lawrence? You punishing me?
400,Is this about Sarah Lawrence? You punishing me?,I thought you were punishing me.
401,I thought you were punishing me.,Why can't we agree on this?
402,Why can't we agree on this?,Because you're making decisions for me.
403,Because you're making decisions for me.,"As a parent, that's my right"
404,"As a parent, that's my right",So what I want doesn't matter?
407,Was that your sister?,Yeah.  She left with some bikers Big ones.  Full of sperm.
409,I don't understand the allure of dehydrated food.  Is this something I should be hip to?,"No, Daddy."
410,"No, Daddy.",So tell me about this dance. Was it fun?
411,So tell me about this dance. Was it fun?,Parts of it.
412,Parts of it.,Which parts?
413,Which parts?,The part where Bianca beat the hell out of some guy.
414,The part where Bianca beat the hell out of some guy.,Bianca did what?
415,Bianca did what?,What's the matter?  Upset that I rubbed off on her?
416,What's the matter?  Upset that I rubbed off on her?,No -- impressed.
418,When I go?,"Oh, Christ.  Don't tell me you've changed your mind.  I already sent 'em a check."
419,"Katarina Stratford.  My, my.  You've been terrorizing Ms. Blaise again.",Expressing my opinion is not a terrorist action.
422,I still maintain that he kicked himself in the balls.  I was merely a spectator.,The point is Kat -- people perceive you as somewhat ...
423,Tempestuous?,No ... I believe "heinous bitch" is the term used most often.
424,"Am I supposed to feel better? Like, right now?  Or do I have some time to think about it?",Just smack her now.
427,Cool pictures.  You a fan?,Yeah.  I guess.
428,You think?,Oh yeah.
434,What plan?,"The situation is, my man Cameron here has a major jones for Bianca Stratford."
435,"The situation is, my man Cameron here has a major jones for Bianca Stratford.",What is it with this chick?  She have three tits?
436,I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.,Dorsey can plow whoever he wants. I'm just in this for the cash.
437,That's where we can help you.  With Kat.,So Dorsey can get the girl?
439,You two are gonna help me tame the wild beast?,We're your guys.
441,Are you telling me I'm a -  "non-smoker"?,Just for now.
443,I prefer to think of it simply as an alternative to what the law allows.,I'm likin' you guys better
444,So you got cozy with she who stings?,No - I've got a sweet-payin' job that I'm about to lose.
445,You were right. She's still pissed.,"Sweet love, renew thy force!"
446,"Sweet love, renew thy force!",Man -- don't say shit like that to  me. People can hear you.
447,I missed you.,It says here you exposed yourself to a group of freshmen girls.
448,It says here you exposed yourself to a group of freshmen girls.,It was a bratwurst.  I was eating lunch.
449,It was a bratwurst.  I was eating lunch.,With the teeth of your zipper?
450,"I don't understand, Patrick.  You haven't done anything asinine this week. Are you not feeling well?",Touch of the flu.
451,Touch of the flu.,"I'm at a loss, then.  What should we talk about? Your year of absence?"
452,Why don't we discuss your driving need to be a hemorrhoid?,What's to discuss?
455,You're completely demented.,See you next week!
456,In the microwave.,Make anyone cry today?
457,What's a synonym for throbbing?,Sarah Lawrence is on the other side of the country.
458,Jesus!  Can a man even grab a sandwich before you women start dilating?,Tumescent!
459,Tumescent!,You're not helping.
460,Would you rather be ravished by a pirate or a British rear admiral?,Pirate -- no question.
462,"What do you wanna watch?  We've got crap, crap, crap or crap",Dr. Ruth?
463,"Have a great time, honey!",But -- who -- what --?
464,What just happened?,Your daughters went to the prom.
465,Your daughters went to the prom.,Did I have anything to say about it?
466,Did I have anything to say about it?,Absolutely not.
467,Absolutely not.,That ' s what I thought
468,I never seen heat like this!  Not even in Las Minas!,The water's going putrid in the barrels.
469,The water's going putrid in the barrels.,You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!
470,"What are you listening to, chicken ass?","Ah, leave him alone.  He's doing no harm."
471,"Ah, leave him alone.  He's doing no harm.",With a face like that?  I don't want you looking at me.  You hear?
472,He's the devil's child...,We'll all go crazy...
473,We should have seen land.,"We left three weeks ago, Alonso. Can't be that near."
475,You say Asia can be found by sailing west?,"Yes, your Eminence.  The voyage should not take more than six or seven weeks."
481,"Your life, and that of others!","If they agree to follow me, yes."
485,Don't you realize your words could be considered heretical?,Blind faith is what I consider heresy!
486,Asia can be found to the west -- and I will prove it.,IF-GOD-WILLS-IT!
487,"The State has some reason to be interested in this man's proposition, Your Eminence...",The Judgment is ours!
490,"It won't be easy to get rid of your prophet now, Don Sanchez.","On the contrary, Your Eminence.  It seems to me the man is preparing his own cross."
491,You can see for yourself.,What a tragedy... what a waste of a life...
495,I haven't given you much of a life.,Well... that's true.  I have a child by a man who won't marry me!  Who's always leaving...
496,Well... that's true.  I have a child by a man who won't marry me!  Who's always leaving...,Are we going to argue?
497,Are we going to argue?,I'd love to argue with you sometimes.  But you're never here!
498,Perhaps I was never meant to live with a woman...,I find that hard to believe.
499,She said yes.,Thank God...
500,I'm not asking you to swear to anything.,I don't want you to wait for me.
501,I don't want you to wait for me.,That's something you can't decide.
502,"Beatrix, I want to ask you something.",You don't usually ask.
503,You don't usually ask.,I can arrange for the Queen to take Fernando and Diego into her service.
504,God... you're so beautiful!  I can't believe no other man has ever taken you away from me...,They tried... but I didn't let them.
506,Can't you stay with us a little?,I am busy inside.
508,I understand that you will soon be appointing Governors for the islands?  Is it not so?,"Forgive me, Don Bobadilla -- those positions have already been taken."
509,"Forgive me, Don Bobadilla -- those positions have already been taken.",May I ask by whom?
510,May I ask by whom?,Bartolome and Giacomo Colon.
511,Don Alonso de Bobadilla.,Yes... I remember...
512,My letters of appointment.,Appointment to what?
513,Appointment to what?,Viceroy of the West Indies.
514,Viceroy of the West Indies.,Congratulations.  Then I am free to search for the mainland.
517,How could I be?  The mainland has been found.  Exactly as I said it would.,I am afraid this is not the worst news.
518,I want to go with you!,There'll be a time.
519,There'll be a time.,You promise?  Do you swear on St. Christopher...?
520,Do you swear on all the Holy Saints in heaven?,"Yes... Yes, I do... On all of them!"
521,I have to explore the mainland.,This time with me!
522,"How are you feeling, Fernando?",Not bad.
523,Father...,There must be a passage to that other ocean.
524,What are you listening to?,"I am not listening, Father.  But I can't help hearing."
525,What does he say?,He asks when he can come to visit you.  He left his address.
526,He asks when he can come to visit you.  He left his address.,He never had one... except aboard my ships!
527,"I want you to tell me everything you remember, Father.  From the beginning.  Everything.",Really?  God... I wouldn't know where to start... and yet...
528,Really?  God... I wouldn't know where to start... and yet...,Tell me the first thing that comes to your mind.
531,"I remind you, Senor Colon, that you are in no position to bargain with me.",I'm not bargaining!
532,I'm not bargaining!,Then you are too ambitious.
535,You defend yourself admirably...,... for a commoner?
536,But we do have a lack of notaries. You should contact my administration.,"Don Bobadilla is already a judge, my Dear Don Cristobal."
537,"Don Bobadilla is already a judge, my Dear Don Cristobal.",Good!  We are also in need of judges.  Except there are no thieves!
538,You seem to have a special talent for making friends.,What...?  Do I have so many already?
539,What...?  Do I have so many already?,"To rise so high, in so short a time, is a dangerous occupation.  A little hypocrisy goes a long way."
540,All I have to do is call the guards.,Call them.
541,I am not afraid of you.  You are nothing but a dreamer.,Look out of that window.
542,What do you see?,"Roofs... towers, palaces... spires..."
543,"Roofs... towers, palaces... spires...",All of them created by people like me.
544,Say not here!  Cuba!,What is it?  A tribe?  An island?
545,What is it?  A tribe?  An island?,Island.  Far.
546,You come!  You speak first!,Tell the Chief we thank him.
547,Tell the Chief we thank him.,Chief knows.
548,Chief knows.,Tell him his country is very beautiful.  Tell him we are leaving men here -- to build a fort.
549,Chief says -- how many?,Thousands.
551,To bring the word of God.,Chief says -- he has a God.
552,Chief says -- he has a God.,... and also to bring medicine.
553,... and also to bring medicine.,Chief says...
554,Chief says...,He has medicine.  Tell him we admire his people.
555,We will work with his people.  We want peace.  Ask the Chief if he understands?,He understands.
556,He understands.,Ask him if he will help.
557,"You have to find them, Utapan.  Look what they did!",You did the same to your God!
558,"Utapan, won't you speak to me?  You used to know how to speak to me.",You never learned how to speak my language.
560,God... That's in a week!,That's what it says.
561,That's what it says.,How did you manage it?
562,How did you manage it?,With some difficulty.  I had to promise them you were not a total fool.
563,Why do you wish to sail west?,To open a new route to Asia.  At the moment there are only two ways of reaching it...
564,How can you be so certain?  The Ocean is said to be infinite.,Ignorance!  I believe the Indies are no more than 750 leagues west of the Canary Islands.
565,Ignorance!  I believe the Indies are no more than 750 leagues west of the Canary Islands.,How can you be so certain?
566,How can you be so certain?,"The calculations of Toscanelli Marin de Tyr, Esdras..."
567,"The calculations of Toscanelli Marin de Tyr, Esdras...",Esdras is a Jew.
568,Esdras is a Jew.,So was Christ!
569,"Two minutes... and already you're a dead man.  Don't let passion overwhelm you, Colon.","I'll try to remember that, Marchena..."
570,"I'll try to remember that, Marchena...",Father Marchena!
571,Father Marchena!,Passion is something one cannot control!
572,Passion is something one cannot control!,You get so carried away when you are being contradicted!
573,You get so carried away when you are being contradicted!,I've been contradicted all my life... Eternity!
574,I've been contradicted all my life... Eternity!,"Only God knows the meaning of such words, my son."
575,You mustn't give way to despair. You must wait.,Wait!  I've waited seven years already!  How much longer do you want me to wait?
576,Wait!  I've waited seven years already!  How much longer do you want me to wait?,"If God intends you to go, then you will go."
577,"If God intends you to go, then you will go.",Damn God!
579,All of them!  Just lies!,Colon!  Don't!
580,"In Nomine Patris et Filius, et Spiritus Sancti.","Forgive me, Father.  For I have sinned."
581,"I am listening, my son.","Father, I have betrayed my family. I betrayed my men.  And I betrayed you."
582,"Father, I have betrayed my family. I betrayed my men.  And I betrayed you.",What are you saying?
583,What are you saying?,I lied.  The journey will be longer than I said.
584,I lied.  The journey will be longer than I said.,How long?
585,How long?,I am not sure... It could be twice the distance.
586,May God forgive you...!  You must tell them!  You must tell your men!,"If I tell them, they won't follow me.  You know that I am right, Father.  You trust me..."
589,I believed in you...,Give me absolution.
590,I suppose we're both old men now.,"You'll always be older than me, Father."
591,I have to disagree.,I knew you would.
592,I knew you would.,New worlds create new people.
593,New worlds create new people.,Oh?  So you are a new man?
596,The ocean is uncrossable?,What did they say about Granada before today?
597,What did they say about Granada before today?,That she was impregnable.
598,I cannot ignore the verdict of my council.,Surely you can do anything you want.
599,May I speak freely?,You show no inclination to speak otherwise!
602,"How old are you, Senor Colon?","Thirty seven, Your Majesty... And you?"
603,Do they have such thoughts?,They come and go as naked as the day God created them...
605,Thank you.,"There is one thing I'd like to understand... Why do you want to go back, after all this?"
608,"We lost cousins, friends.  We will wash this in blood.","If you want to keep your head on your shoulders, you'll do as I say."
611,We can't raise the wheel without it.,My horse doesn't work.
612,Don Moxica -- we all have to work.,"You did not hear me, Don Colon.  Not my horse."
616,"Due west, Captain Mendez.  And may God be with us...",God be with us admiral.
618,And what do you think Mendez?,"Well, I surely know what a quadrant is!  But I've never seen it used at night before."
619,"Well, I surely know what a quadrant is!  But I've never seen it used at night before.",Come over here.
620,What do you read?,Twenty eight.
621,What's he doing?,He's drawing an isthmus... He's saying we're on an isthmus.
622,He's drawing an isthmus... He's saying we're on an isthmus.,We can't be.
623,Where can I meet this man?,Immediately.
